Time, x, y, z
243.2093397,0.153,-11.186,0.153
243.2197197,0.153,-11.186,0.153
243.2305707,0.153,-11.186,0.153
243.2431236,0.153,-11.186,0.153
243.2594317,0.153,-11.186,0.153
243.2735077,0.153,-11.186,0.153
243.3005527,0.153,-11.186,0.153
243.8239258,0.153,-11.186,0.153
243.8423818,0.612,-11.186,-7.968
243.8726057,0.612,-11.186,-7.968
243.8865326,0.612,-11.186,-7.968
243.9167987,0.612,-11.186,-7.968
243.9501458,-1.072,-9.347,2.145
243.9851826,-1.072,-9.347,2.145
244.0110956,-1.072,-9.347,2.145
244.0633248,-1.072,-9.347,2.145
244.1191188,-1.072,-9.347,2.145
244.1534158,-1.072,-9.347,2.145
244.6421197,-1.072,-9.347,2.145
244.6626247,0.919,-9.96,-0.153
244.6829408,0.919,-9.96,-0.153
244.7074748,0.919,-9.96,-0.153
244.7339757,0.919,-9.96,-0.153
244.7648347,0.919,-9.96,-0.153
244.7960828,0.919,-9.96,-0.153
244.8489438,0.919,-9.96,-0.153
244.8877107,0.919,-9.96,-0.153
244.9296418,0.919,-9.96,-0.153
244.9753438,-0.766,-9.96,0.612
245.0103127,-0.766,-9.96,0.612
245.0271798,-0.766,-9.96,0.612
245.0489257,-0.766,-9.96,0.612
245.0771757,-0.766,-9.96,0.612
245.1027997,-0.766,-9.96,0.612
245.1302956,-0.766,-9.96,0.612
245.1570707,-0.766,-9.96,0.612
245.1889318,-0.766,-9.96,0.612
245.2227627,-0.766,-9.96,0.612
245.2408148,-0.766,-9.96,0.612
245.2590617,-0.766,-9.96,0.612
245.2882267,-0.766,-9.96,0.612
245.5210367,-0.766,-9.96,0.612
245.5327517,-0.919,-10.113,2.451
245.5546957,-0.919,-10.113,2.451
245.5663177,-0.919,-10.113,2.451
245.5774668,-0.919,-10.113,2.451
245.6040557,-0.919,-10.113,2.451
245.6453286,-0.919,-10.113,2.451
245.6677977,-0.919,-10.113,2.451
245.6907767,-0.919,-10.113,2.451
245.7207716,-0.919,-10.113,2.451
245.7454086,-0.919,-10.113,2.451
245.7723418,-0.919,-10.113,2.451
245.7986058,-0.919,-10.113,2.451
245.8368557,-0.919,-10.113,2.451
245.8626967,-0.919,-10.113,2.451
245.8866297,-0.919,-10.113,2.451
245.9129506,-0.919,-10.113,2.451
245.9443077,-0.919,-10.113,2.451
245.9678226,-0.612,-9.96,0.153
245.9922067,-0.612,-9.96,0.153
246.0188268,-0.612,-9.96,0.153
246.3213876,-0.612,-9.96,0.153
246.3502067,-0.612,-9.96,0.153
246.3752767,-0.612,-9.96,0.153
246.3939646,-0.612,-9.96,0.153
246.4209257,-0.612,-9.96,0.153
246.4545017,-0.612,-9.96,0.153
246.4769138,-0.612,-10.419,1.992
246.5076247,-0.612,-10.419,1.992
246.5307096,-0.612,-10.419,1.992
246.5601407,-0.612,-10.419,1.992
246.5857197,-0.612,-10.419,1.992
246.6117207,-0.612,-10.419,1.992
246.6487828,-0.612,-10.419,1.992
246.6745406,-0.612,-10.419,1.992
246.7010706,-0.612,-10.419,1.992
246.7244707,-0.612,-10.419,1.992
246.7543317,-0.612,-10.419,1.992
246.7797936,-0.612,-10.419,1.992
246.8067556,-0.612,-10.419,1.992
247.1320358,-0.766,-9.194,0.153
247.1720208,-0.766,-9.194,0.153
247.3975507,-0.766,-9.194,0.153
247.4083286,-0.766,-9.194,0.153
247.4373017,-0.766,-9.194,0.153
247.4750927,-0.766,-9.194,0.153
247.5104598,-0.612,-9.653,1.379
247.5282117,-0.612,-9.653,1.379
247.5391408,-0.612,-9.653,1.379
247.5676018,-0.612,-9.653,1.379
247.5961388,-0.612,-9.653,1.379
247.6131357,-0.612,-9.653,1.379
247.6245028,-0.612,-9.653,1.379
247.6361958,-0.612,-9.653,1.379
247.6490727,-0.612,-9.653,1.379
247.6595837,-0.612,-9.653,1.379
247.6707757,-0.612,-9.653,1.379
247.6821977,-0.612,-9.653,1.379
247.6936468,-0.612,-9.653,1.379
247.7047447,-0.612,-9.653,1.379
247.7160977,-0.612,-9.653,1.379
247.7281526,-0.612,-9.653,1.379
247.7388457,-0.612,-9.653,1.379
247.7494896,-0.612,-9.653,1.379
247.7617367,-0.612,-9.653,1.379
247.7738107,-0.612,-9.653,1.379
247.7855876,-0.612,-9.653,1.379
247.7960628,-0.612,-9.653,1.379
247.8065628,-0.612,-9.653,1.379
247.8177596,-0.612,-9.653,1.379
247.8315078,-0.612,-9.653,1.379
247.8430627,-0.612,-9.653,1.379
247.8541337,-0.612,-9.653,1.379
247.8656057,-0.612,-9.653,1.379
247.8776916,-0.612,-9.653,1.379
247.8881467,-0.612,-9.653,1.379
247.8990086,-0.612,-9.653,1.379
247.9100238,-0.612,-9.653,1.379
247.9215067,-0.612,-9.653,1.379
247.9329897,-0.612,-9.653,1.379
