Time, x, y, z,,,,,,,,,
53.51208955,5.619232,-8.890839,-1.7585907,,,,,,,,,
53.51818758,6.8022766,-8.6409,-0.958786,,,,,,,,,
53.52431351,7.285492,-8.686127,-1.3110809,,,,,,,,,
53.53020364,7.1212463,-8.669464,-1.3991547,,,,,,,,,
53.53589946,6.5904236,-8.098175,-0.875473,,,,,,,,,
53.54155355,5.790619,-8.19339,-0.89927673,,,,,,,,,
53.5473395,5.0360413,-8.162445,-1.3396454,,,,,,,,,
53.5531016,4.2243347,-8.121979,-1.7181244,,,,,,,,,
53.55919152,3.2460022,-7.9339294,-1.5895844,,,,,,,,,
53.56483847,2.4247742,-7.738739,-1.2658539,,,,,,,,,
53.57163244,1.6725769,-7.495941,-0.84690857,,,,,,,,,
53.5774365,0.82040405,-6.758026,-0.22087097,,,,,,,,,
53.58314854,0.5466614,-6.20578,-0.0209198,,,,,,,,,
53.58897048,0.2895813,-5.622589,0.095718384,,,,,,,,,
53.59469658,-0.1388855,-5.198883,-0.03996277,,,,,,,,,
53.60081154,-1.2171936,-4.8346863,-0.27085876,,,,,,,,,
53.60651165,-1.4599915,-4.5490417,-0.22563171,,,,,,,,,
53.61248761,-1.3933411,-4.199127,-0.13755798,,,,,,,,,
53.61817652,-1.3147888,-4.134857,0.1433258,,,,,,,,,
53.62387448,-1.3600159,-4.1896057,0.5955963,,,,,,,,,
53.62958961,-1.5004578,-4.377655,0.9693146,,,,,,,,,
53.63521963,-1.6456604,-4.6871033,1.4763336,,,,,,,,,
53.64083844,-1.7718201,-4.92276,1.4882355,,,,,,,,,
53.64652544,-1.8717957,-5.120331,1.4691925,,,,,,,,,
53.65220648,-2.0622253,-5.396454,1.312088,,,,,,,,,
53.65809756,-2.150299,-5.6249695,1.2002106,,,,,,,,,
53.66377455,-2.3383484,-5.8939514,1.3644562,,,,,,,,,
53.66951161,-2.5573425,-6.148651,1.0907135,,,,,,,,,
53.67514258,-2.6406555,-6.1700745,0.73127747,,,,,,,,,
53.68115455,-2.7953796,-6.186737,0.64320374,,,,,,,,,
53.68677765,-2.5644836,-6.0939026,0.19093323,,,,,,,,,
53.6942845,-2.4740295,-6.065338,-0.3922577,,,,,,,,,
53.70181757,-2.5144958,-6.0867615,-1.4872284,,,,,,,,,
53.70898849,-2.464508,-6.1391296,-2.2513275,,,,,,,,,
53.71941858,-1.745636,-6.0939026,-3.3201141,,,,,,,,,
53.72626763,-1.6408997,-6.1510315,-3.7771454,,,,,,,,,
53.73246342,-1.5694885,-6.148651,-3.9556732,,,,,,,,,
53.73822361,-1.5647278,-6.2200623,-4.153244,,,,,,,,,
53.74302464,-1.6718445,-6.2676697,-4.307968,,,,,,,,,
53.74792844,-1.45047,-6.724701,-4.819748,,,,,,,,,
53.7526856,-1.2909851,-6.9794006,-5.153,,,,,,,,,
53.75747853,-1.2909851,-6.9794006,-5.153,,,,,,,,,
53.76253253,-0.9196472,-8.102936,-6.526474,,,,,,,,,
53.76724463,-0.9196472,-8.102936,-6.526474,,,,,,,,,
53.77463752,0.00869751,-9.702545,-8.142746,,,,,,,,,
53.78414851,1.6963806,-11.164093,-9.528122,,,,,,,,,
53.78982359,2.3009949,-12.001984,-10.330307,,,,,,,,,
53.79552942,3.0960388,-12.720856,-11.291977,,,,,,,,,
53.80123049,3.572113,-13.508759,-12.644028,,,,,,,,,
53.80692559,3.8696594,-14.03006,-13.698532,,,,,,,,,
53.81278354,3.988678,-14.2847595,-14.850632,,,,,,,,,
53.81857759,4.276703,-13.099335,-16.405014,,,,,,,,,
53.82422453,4.0767517,-12.0971985,-16.278854,,,,,,,,,
53.82988649,3.4150085,-11.14743,-15.16246,,,,,,,,,
53.83551746,2.8770447,-10.257172,-13.636642,,,,,,,,,
53.98066349,2.4438171,-9.4097595,-11.753769,,,,,,,,,
53.98649735,-0.22457886,-9.909637,3.0283356,,,,,,,,,
53.99237056,0.27053833,-10.640411,3.609146,,,,,,,,,
53.99743338,2.558075,-11.497345,2.806961,,,,,,,,,
54.00246639,3.1436462,-11.823456,1.8095856,,,,,,,,,
54.00765247,3.4649963,-11.887726,0.47657776,,,,,,,,,
54.01263638,3.7934875,-11.654449,-0.68504333,,,,,,,,,
54.01811452,4.19339,-11.368805,-1.8776093,,,,,,,,,
54.02317233,4.6599426,-10.95462,-2.5988617,,,,,,,,,
54.02817435,4.983673,-10.397614,-2.639328,,,,,,,,,
54.03303046,5.0836487,-9.804901,-2.658371,,,,,,,,,
54.03792949,4.8527527,-9.202667,-2.7845306,,,,,,,,,
54.04439135,4.495697,-8.648041,-2.960678,,,,,,,,,
54.05071135,3.8648987,-8.091034,-3.1558685,,,,,,,,,
54.05681248,2.9936829,-7.7554016,-3.1487274,,,,,,,,,
54.06192656,1.5892639,-7.584015,-2.2251434,,,,,,,,,
54.06842537,1.0203552,-7.5935364,-1.3539276,,,,,,,,,
54.07404442,0.70376587,-7.688751,-0.89927673,,,,,,,,,
54.07955451,0.34194946,-7.9339294,-0.98020935,,,,,,,,,
54.08512754,-0.17459106,-8.212433,-1.2372894,,,,,,,,,
54.09093947,-0.61972046,-8.405243,-1.587204,,,,,,,,,
54.09646649,-1.2505188,-8.607574,-1.587204,,,,,,,,,
54.10196848,-1.0172424,-8.83847,-1.503891,,,,,,,,,
54.11072845,-1.219574,-8.890839,-1.1515961,,,,,,,,,
54.1256475,-0.6578064,-8.726593,-0.432724,,,,,,,,,
54.1317975,-0.060333252,-8.686127,-0.18278503,,,,,,,,,
54.13857741,0.21102905,-8.624237,-0.23277283,,,,,,,,,
54.14493651,0.37051392,-8.605194,-0.24229431,,,,,,,,,
54.15101643,0.77041626,-8.70517,-0.6231537,,,,,,,,,
54.15668554,0.85849,-8.659943,-0.95402527,,,,,,,,,
54.1616704,1.070343,-8.6409,-1.1849213,,,,,,,,,
54.16698546,1.339325,-8.690887,-1.587204,,,,,,,,,
54.17196245,1.6035461,-8.64328,-1.901413,,,,,,,,,
54.17709346,2.0367737,-8.657562,-1.965683,,,,,,,,,
54.18205256,2.3295593,-8.638519,-1.9894867,,,,,,,,,
54.18727155,2.603302,-8.583771,-1.7466888,,,,,,,,,
54.19228549,3.019867,-8.595673,-1.1515961,,,,,,,,,
54.19728942,3.4269104,-8.719452,-1.0492401,,,,,,,,,
54.2022614,3.6578064,-8.702789,-0.71836853,,,,,,,,,
54.20736856,4.1267395,-8.45047,-0.57554626,,,,,,,,,
54.21246953,3.9934387,-8.426666,-0.811203,,,,,,,,,
54.21770139,4.105316,-8.436188,-1.5253143,,,,,,,,,
54.22266455,3.9339294,-8.4409485,-2.1299286,,,,,,,,,
54.22763033,3.5744934,-8.443329,-2.6226654,,,,,,,,,
54.2326004,3.3935852,-8.390961,-2.8987885,,,,,,,,,
54.23758836,3.0151062,-8.3862,-2.7202606,,,,,,,,,
54.2425694,2.6651917,-8.414764,-2.4108124,,,,,,,,,
54.24773641,2.4700012,-8.38858,-1.9561615,,,,,,,,,
54.25482244,2.0058289,-8.519501,-1.606247,,,,,,,,,
54.26534743,1.3440857,-9.09079,-1.2706146,,,,,,,,,
54.27058644,0.8822937,-9.578766,-0.746933,,,,,,,,,
54.27630253,1.0036926,-9.726349,-0.6612396,,,,,,,,,
54.28179045,0.839447,-9.895355,-0.7136078,,,,,,,,,
54.28711147,0.8989563,-10.042938,-0.7231293,,,,,,,,,
54.29226656,0.85849,-10.190521,-0.69932556,,,,,,,,,
54.29747839,0.91799927,-10.490448,-0.8588104,,,,,,,,,
54.30263753,0.4300232,-10.685638,-0.7350311,,,,,,,,,
54.30816836,1.2226868,-10.490448,-0.8683319,,,,,,,,,
54.31348152,1.5773621,-10.814178,-0.9516449,,,,,,,,,
54.31868453,2.481903,-11.266449,-1.1373138,,,,,,,,,
54.32710333,3.065094,-11.302155,-1.0659027,,,,,,,,,
54.33259244,4.502838,-11.164093,-1.2634735,,,,,,,,,
54.33770556,4.9360657,-11.14743,-1.8704681,,,,,,,,,
54.34276552,5.1717224,-10.69516,-2.0394745,,,,,,,,,
54.34786649,5.41214,-10.435699,-2.048996,,,,,,,,,
54.35293646,5.3002625,-10.542816,-2.306076,,,,,,,,,
54.35826249,4.590912,-10.680878,-2.6893158,,,,,,,,,
54.36333342,4.00058,-10.880829,-2.7892914,,,,,,,,,
54.36843152,3.3721619,-10.961761,-3.0915985,,,,,,,,,
54.37350745,2.943695,-10.983185,-3.6152802,,,,,,,,,
54.37890334,2.4128723,-10.935577,-4.0675507,,,,,,,,,
54.38420148,1.9986877,-10.923676,-4.455551,,,,,,,,,
54.38927741,1.9677429,-10.990326,-4.774521,,,,,,,,,
54.39435048,2.1296082,-10.845123,-4.4460297,,,,,,,,,
54.39936442,2.629486,-10.907013,-4.7721405,,,,,,,,,
54.40441437,3.1007996,-10.94986,-5.0530243,,,,,,,,,
54.40950246,3.6078186,-10.945099,-5.186325,,,,,,,,,
54.41522951,4.052948,-10.990326,-5.3291473,,,,,,,,,
54.42029138,4.559967,-11.076019,-5.322006,,,,,,,,,
54.42578549,4.9027405,-11.342621,-5.045883,,,,,,,,,
54.43088551,5.1003113,-11.904388,-4.8554535,,,,,,,,,
54.43602438,5.5049744,-12.218597,-4.274643,,,,,,,,,
54.44108052,5.919159,-12.544708,-4.024704,,,,,,,,,
54.44616933,6.1405334,-12.74942,-4.269882,,,,,,,,,
54.45142145,5.9286804,-12.756561,-4.903061,,,,,,,,,
54.46231551,4.0434265,-11.428314,-6.3622284,,,,,,,,,
54.46762342,2.97464,-10.876068,-6.3241425,,,,,,,,,
54.47271938,1.9629822,-10.261932,-6.9858856,,,,,,,,,
54.47803755,1.1417542,-9.5383,-6.912094,,,,,,,,,
54.67616744,0.48239136,-5.0846252,0.6693878,,,,,,,,,
