Time, x, y, z,,,,,,
7.676031828,-2.1360168,-9.364532,-0.48747253,,,,,,
7.68123579,-2.1336365,-9.419281,-0.5088959,,,,,,
7.685418844,-2.1717224,-9.402618,-0.4898529,,,,,,
7.691005945,-2.2121887,-9.397858,-0.5303192,,,,,,
7.69519496,-2.1979065,-9.383575,-0.47557068,,,,,,
7.698717833,-2.2431335,-9.400238,-0.49461365,,,,,,
7.702150822,-2.214569,-9.3454895,-0.46842957,,,,,,
7.706547022,-2.214569,-9.3454895,-0.46842957,,,,,,
7.712564945,-2.181244,-9.374054,-0.5255585,,,,,,
7.716938019,-2.169342,-9.397858,-0.49223328,,,,,,
7.721840858,-2.143158,-9.407379,-0.47557068,,,,,,
7.726120949,-2.143158,-9.407379,-0.47557068,,,,,,
7.731319904,-2.1336365,-9.390717,-0.48747253,,,,,,
