Time, x, y, z,,,,,,,,,,,,,,,,,,,,,
14.80263628,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.83185925,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.85545935,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.88222517,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.91635932,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.93865432,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.96090521,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.98118223,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
15.26670112,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
15.29250516,1.225,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
15.31973828,1.225,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
15.34369124,1.225,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
15.37065424,1.225,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
15.39436616,1.225,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
15.42075314,1.225,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
15.44030918,1.225,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
15.46830334,1.225,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
15.48936714,1.225,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
15.51769032,1.225,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
15.53820027,0.919,9.5,-1.685,,,,,,,,,,,,,,,,,,,,,
15.56069435,0.919,9.5,-1.685,,,,,,,,,,,,,,,,,,,,,
15.59402932,0.919,9.5,-1.685,,,,,,,,,,,,,,,,,,,,,
15.62508215,0.919,9.5,-1.685,,,,,,,,,,,,,,,,,,,,,
15.64395823,0.919,9.5,-1.685,,,,,,,,,,,,,,,,,,,,,
15.66617717,0.919,9.5,-1.685,,,,,,,,,,,,,,,,,,,,,
15.69028534,0.919,9.5,-1.685,,,,,,,,,,,,,,,,,,,,,
15.71273817,0.919,9.5,-1.685,,,,,,,,,,,,,,,,,,,,,
15.73938312,0.919,9.5,-1.685,,,,,,,,,,,,,,,,,,,,,
16.02018322,0.919,9.5,-1.685,,,,,,,,,,,,,,,,,,,,,
16.04460324,1.379,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
16.06390013,1.379,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
16.10936822,1.379,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
16.13418831,1.379,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
16.15829433,1.379,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
16.17858614,1.379,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
16.20118822,1.379,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
16.90444221,1.379,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
16.92401017,1.379,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
16.96736921,1.379,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
17.03212632,1.379,9.96,-0.153,,,,,,,,,,,,,,,,,,,,,
17.06896819,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.08759631,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.1093563,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.13338531,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.16754521,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.19347729,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.21755733,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.2473103,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.2736863,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.30668224,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.35336317,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.40052905,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.44844403,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.50727811,0.919,10.113,-1.379,,,,,,,,,,,,,,,,,,,,,
17.57683414,1.379,9.96,-1.685,,,,,,,,,,,,,,,,,,,,,
17.6138441,1.379,9.96,-1.685,,,,,,,,,,,,,,,,,,,,,
17.66806716,1.379,9.96,-1.685,,,,,,,,,,,,,,,,,,,,,
17.70578617,1.379,9.96,-1.685,,,,,,,,,,,,,,,,,,,,,
17.76678223,1.379,9.96,-1.685,,,,,,,,,,,,,,,,,,,,,
17.81214017,1.379,9.96,-1.685,,,,,,,,,,,,,,,,,,,,,
17.86759514,1.379,9.96,-1.685,,,,,,,,,,,,,,,,,,,,,
