Time, x, y, z,,,,,,,,,,,,,,,,,,
18.64047315,-0.919,9.194,4.597,,,,,,,,,,,,,,,,,,
19.38171627,-0.919,9.194,4.597,,,,,,,,,,,,,,,,,,
19.39434316,-0.919,8.734,5.363,,,,,,,,,,,,,,,,,,
19.40686013,-0.766,8.274,6.742,,,,,,,,,,,,,,,,,,
19.41859915,-1.225,8.121,5.363,,,,,,,,,,,,,,,,,,
19.43301322,-1.225,8.121,5.363,,,,,,,,,,,,,,,,,,
19.44488813,-0.919,8.581,5.363,,,,,,,,,,,,,,,,,,
19.45949914,-1.225,8.581,5.976,,,,,,,,,,,,,,,,,,
19.47112419,-1.225,8.581,5.976,,,,,,,,,,,,,,,,,,
19.48322417,-0.919,8.121,5.363,,,,,,,,,,,,,,,,,,
19.50516917,-0.919,8.121,5.363,,,,,,,,,,,,,,,,,,
19.51778509,-1.379,8.734,4.903,,,,,,,,,,,,,,,,,,
19.53047325,-1.379,7.814,5.516,,,,,,,,,,,,,,,,,,
19.54296305,-1.072,7.814,6.895,,,,,,,,,,,,,,,,,,
19.55434324,-1.379,7.661,5.822,,,,,,,,,,,,,,,,,,
19.56562926,-1.072,7.814,6.282,,,,,,,,,,,,,,,,,,
19.57741906,-1.072,7.814,4.597,,,,,,,,,,,,,,,,,,
19.59853627,-1.072,8.581,5.976,,,,,,,,,,,,,,,,,,
19.61010506,-1.532,7.814,5.822,,,,,,,,,,,,,,,,,,
19.6216221,-1.225,7.968,5.056,,,,,,,,,,,,,,,,,,
19.63374116,-1.225,7.968,5.056,,,,,,,,,,,,,,,,,,
19.66320421,-1.072,8.734,5.516,,,,,,,,,,,,,,,,,,
19.68420627,-1.072,8.274,4.903,,,,,,,,,,,,,,,,,,
19.69638516,-1.225,8.121,7.048,,,,,,,,,,,,,,,,,,
19.70869114,-1.225,8.274,6.742,,,,,,,,,,,,,,,,,,
19.71975519,-1.532,8.121,5.209,,,,,,,,,,,,,,,,,,
19.73208715,-1.532,8.121,5.209,,,,,,,,,,,,,,,,,,
19.74399116,-1.072,8.121,4.75,,,,,,,,,,,,,,,,,,
19.75647404,-1.379,8.581,5.516,,,,,,,,,,,,,,,,,,
19.76827504,-1.379,7.968,6.129,,,,,,,,,,,,,,,,,,
19.7804022,-1.379,8.427,6.282,,,,,,,,,,,,,,,,,,
19.79174211,-1.225,8.121,6.589,,,,,,,,,,,,,,,,,,
19.80374219,-1.225,8.121,6.589,,,,,,,,,,,,,,,,,,
19.81598522,-0.919,8.581,5.669,,,,,,,,,,,,,,,,,,
19.82828619,-1.225,8.121,5.516,,,,,,,,,,,,,,,,,,
19.83958604,-0.766,7.355,6.129,,,,,,,,,,,,,,,,,,
19.85228111,-0.766,7.355,6.129,,,,,,,,,,,,,,,,,,
19.86376216,-1.225,8.121,5.056,,,,,,,,,,,,,,,,,,
19.87558009,-0.612,7.814,5.976,,,,,,,,,,,,,,,,,,
20.64800933,-1.685,8.121,6.895,,,,,,,,,,,,,,,,,,
20.65913728,-1.379,7.508,6.282,,,,,,,,,,,,,,,,,,
20.67144731,-1.072,8.581,7.355,,,,,,,,,,,,,,,,,,
20.68325332,-1.072,7.508,7.814,,,,,,,,,,,,,,,,,,
20.69585517,-1.072,7.508,7.814,,,,,,,,,,,,,,,,,,
20.70714715,-0.766,7.968,6.589,,,,,,,,,,,,,,,,,,
20.71991828,-0.919,7.661,5.822,,,,,,,,,,,,,,,,,,
20.73098329,-1.379,7.661,5.822,,,,,,,,,,,,,,,,,,
20.74229625,-1.379,7.661,5.822,,,,,,,,,,,,,,,,,,
20.7550452,-0.766,7.661,6.589,,,,,,,,,,,,,,,,,,
20.7667363,-1.685,8.274,5.976,,,,,,,,,,,,,,,,,,
20.77876213,-1.685,8.274,5.976,,,,,,,,,,,,,,,,,,
20.79893711,-1.379,8.427,6.129,,,,,,,,,,,,,,,,,,
20.81834915,-1.072,7.355,7.202,,,,,,,,,,,,,,,,,,
20.83651426,-1.379,8.274,6.129,,,,,,,,,,,,,,,,,,
20.85613516,-1.072,7.661,5.976,,,,,,,,,,,,,,,,,,
20.87348512,-0.766,7.968,6.282,,,,,,,,,,,,,,,,,,
20.89349821,-1.225,8.121,6.282,,,,,,,,,,,,,,,,,,
20.91144827,-0.919,7.968,5.822,,,,,,,,,,,,,,,,,,
20.92849329,-1.225,7.508,7.355,,,,,,,,,,,,,,,,,,
20.94762924,-1.225,8.274,6.589,,,,,,,,,,,,,,,,,,
20.97307923,-1.072,7.661,4.597,,,,,,,,,,,,,,,,,,
20.99209621,-1.225,7.355,7.661,,,,,,,,,,,,,,,,,,
21.01654032,-0.766,7.968,7.508,,,,,,,,,,,,,,,,,,
21.03834131,-1.225,7.968,6.589,,,,,,,,,,,,,,,,,,
21.06763127,-1.072,7.968,7.661,,,,,,,,,,,,,,,,,,
